Index,URL,Name,Country,Title,Source,Source_link,Importance,Currency,Description
1,https://www.investing.com/economic-calendar/adp-nonfarm-employment-change-1 ,adp nonfarm employment change,United States,United States ADP Nonfarm Employment Change,Automatic Data Processing (ADP),http://www.adpemploymentreport.com/ ,3.0,USD,"The ADP National Employment Report is a measure of the monthly change in non-farm, private employment, based on the payroll data of approximately 400,000 U.S. business clients. The release, two days ahead of government data, is a good predictor of the government's non-farm payroll report. The change in this indicator can be very volatile.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD."
2,,,,,,,,,
3,,,,,,,,,
4,https://www.investing.com/economic-calendar/all-industries-activity-index.-4 ,all industries activity index.,Japan,Japan All Industries Activity Index MoM,"Japanese Ministry of Economy, Trade and Industry",http://www.meti.go.jp/english/statistics/ ,1.0,JPY,"The All Industries Activity Index measures the monthly change in overall production by all sectors of the Japanese economy. The index closely follows Japanese gross domestic product (GDP) and overall growth figures.A higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY."
5,https://www.investing.com/economic-calendar/anz-commodity-price-index-5 ,anz commodity price index,New Zealand,New Zealand ANZ Commodity Price Index MoM,Australia  & New Zealand Banking Group,http://www.anz.co.nz/about-us/economic-markets-research/commodity-price-index/ ,1.0,NZD,"The ANZ Commodity Price Index measures the change in the selling price of exported commodities. Commodities exports comprise a major part of New Zealand's economy. The data also has an effect on the country's trade balance. The report is released monthly by ANZ, one of New Zealand's leading banking and financial services firms.A higher than expected reading should be taken as positive/bullish for the NZD, while a lower than expected reading should be taken as negative/bearish for the NZD."
6,https://www.investing.com/economic-calendar/average-cash-earnings-6 ,average cash earnings,Japan,Japan Average Cash Earnings YoY,"Japanese Ministry of Health, Labour and Welfare",http://www.mhlw.go.jp/english/database/db-l/index.html ,1.0,JPY,"Average Cash Earnings measures the change in employment income, including bonuses and overtime pay. Higher income is positive for consumption.A higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY."
7,https://www.investing.com/economic-calendar/average-earnings-index-bonus-7 ,average earnings index bonus,United Kingdom,United Kingdom Average Earnings Index +Bonus,Office for National Statistics,https://www.ons.gov.uk/ ,2.0,GBP,"The Average Earnings Index measures change in the price businesses and the government pay for labor, including bonuses. The Average Earnings figure gives us a good indication of personal income growth during the given month.A higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP."
8,https://www.investing.com/economic-calendar/average-hourly-earnings-8 ,average hourly earnings,United States,United States Average Hourly Earnings MoM,"U.S. Bureau of Labor Statistics, Department of Labor ",https://www.bls.gov/news.release/empsit.toc.htm ,3.0,USD,"Average Hourly Earnings measures the change in the price businesses pay for labor, not including the agricultural sector. A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD."
9,https://www.investing.com/economic-calendar/gross-mortgage-approvals-9 ,gross mortgage approvals,United Kingdom,United Kingdom Gross Mortgage Approvals,UK Finance,https://www.ukfinance.org.uk/news/ ,2.0,GBP,"The U.K. Finance Mortgage Approvals, previously reported by the British Bankers' Association, reports the number of new mortgages approved by high street banks during the prior month. It comprises more than half of the total U.K. mortgage market and thus provides information about the U.K residential property market.Figures referred to as ‘High Street Banks’ by UK Finance in this release relate to the UK activity of 21 institutions across the banking groups of Barclays, HSBC Bank, Lloyds Banking Group, Royal Bank of Scotland Group, Santander UK, TSB and Virgin Money.A reading that is stronger than forecast is generally supportive (bullish) for the GBP, while a weaker than forecast reading is generally negative (bearish) for the GBP."
10,https://www.investing.com/economic-calendar/beige-book-10 ,beige book,United States,United States Federal Reserve Beige Book,Federal Reserve,https://www.federalreserve.gov/monetarypolicy/beigebook/default.htm ,2.0,USD,"The Federal Reserve's Beige Book is a report on current economic conditions in each of the 12 Federal districts in the U.S. It gives a picture of economic trends and challenges in the U.S. It is released 8 times a year, 2 weeks before each Federal Open Market Committee meeting. The report is used by the FOMC in their decision on short-term interest rates.An optimistic outlook should be taken as positive/bullish for the USD, while a pessimistic outlook should be taken as negative/bearish for the USD. "
11,https://www.investing.com/economic-calendar/boc-review-11 ,boc review,Canada,Bank of Canada (BoC) Review,Bank Of Canada,http://www.bankofcanada.ca/publications/boc-review/?page_moved=1 ,1.0,CAD,The Bank of Canada (BOC) Review is produced quarterly and contains articles related to the economy and central banking.
12,https://www.investing.com/economic-calendar/boc-deputy-governor-duguay-speaks-12 ,boc deputy governor duguay speaks,Canada,Bank of Canada (BoC) Deputy Governor Duguay Speaks,, ,1.0,CAD,Bank of Canada (BOC) Senior Deputy Governor (January 2000 - July 2009) Pierre Duguay is to speak. BOC Governing Council members are responsible for setting the benchmark interest rate and their speeches often contain indications on the future possible direction of monetary policy.His comments may determine a short-term positive or negative trend.
